,P_MPa,H2O,CO2,H2Om,OHm
2647,237.15625,3.7815012732991047,423.54000000010444,1.9618029180518395,1.8199682281816587
2648,237.09375,3.781271736393517,423.36000000010444,1.9616075660257466,1.8199339122265437
2649,237.03125,3.7808928969912645,423.1800000001044,1.9612851720539468,1.819877325088245
2650,237.0,3.7805670568387244,423.0000000001044,1.9610078871120868,1.819828631970264
2651,236.9375,3.780336385736022,422.8200000001044,1.9608115881790953,1.8197941286933703
2652,236.875,3.7801049148612376,422.6400000001044,1.960614613262671,1.8197595015848738
2653,236.8125,3.779871255136573,422.4600000001044,1.9604157805267237,1.8197245433042548
2654,236.75,3.77964155358211,422.2800000001044,1.9602203201131945,1.8196901711672424
2655,236.6875,3.7792317403872593,422.1000000001044,1.9598716262840996,1.8196289080091002
2656,236.65625,3.778934258023273,421.9200000001044,1.9596185128407395,1.8195844033069584
2657,236.59375,3.7787020673259626,421.7400000001044,1.9594209530491462,1.8195496412776213
2658,236.53125,3.7784666896975136,421.56000000010437,1.9592206866394628,1.8195143987229496
2659,236.46875,3.7782364480868202,421.38000000010436,1.959024794150519,1.8194799186442523
2660,236.40625,3.7779254704657133,421.20000000010435,1.958760225705599,1.8194333727950716
2661,236.34375,3.7775744463436274,421.02000000010435,1.9584615999807242,1.8193808349027607
2662,236.3125,3.7772932432032813,420.84000000010434,1.9582223757824018,1.81933872143806
2663,236.25,3.777057156930407,420.66000000010433,1.9580215347237095,1.819303344916209
2664,236.1875,3.776821462177065,420.4800000001043,1.9578210314163702,1.8192680222046043
2665,236.125,3.776586550462771,420.3000000001043,1.9576211988493661,1.8192328118614738
2666,236.0625,3.7762655044532356,420.1200000001043,1.9573481103778643,1.8191847170443856
2667,236.0,3.775913789414332,419.9400000001043,1.9570489464185894,1.819132026535045
2668,235.96875,3.7756376898461323,419.7600000001043,1.956814102330616,1.8190906369947042
2669,235.90625,3.7754058857093127,419.5800000001043,1.956616936245165,1.8190558680316342
2670,235.84375,3.77516690411334,419.4000000001043,1.9564136707066937,1.8190200205692768
2671,235.78125,3.7749327892379823,419.2200000001043,1.9562145487893692,1.8189848965646715
2672,235.71875,3.7746086869910314,419.04000000010427,1.9559389063526451,1.8189362993682265
2673,235.65625,3.7742591444601685,418.86000000010426,1.955641639256313,1.818883884771622
2674,235.625,3.773978763243852,418.68000000010426,1.955403193088878,1.8188418154610433
2675,235.5625,3.7737435670582187,418.50000000010425,1.9552031753379995,1.818806505967938
2676,235.5,3.7735048604817503,418.32000000010424,1.9550001773986354,1.8187706660393195
2677,235.4375,3.773266998999358,418.14000000010424,1.9547979028723357,1.8187349478657426
2678,235.375,3.772953729121345,417.96000000010423,1.9545315165462773,1.818687927800005
2679,235.3125,3.7725999456494046,417.7800000001042,1.9542306928104929,1.8186348287170837
2680,235.28125,3.772304775808786,417.6000000001042,1.9539797128695533,1.8185905036164955
2681,235.21875,3.7720720278919995,417.4200000001042,1.953781810060471,1.8185555277162602
2682,235.15625,3.771831472400327,417.2400000001042,1.9535772741715431,1.8185193767861998
2683,235.09375,3.7715921140701303,417.0600000001042,1.9533737609611508,1.8184834004378096
2684,235.03125,3.7712967466632064,416.8800000001042,1.9531226383606044,1.8184390204830527
2685,234.96875,3.7709432371135576,416.7000000001042,1.9528220972924972,1.818385912788668
2686,234.9375,3.770631132220232,416.5200000001042,1.952556763135063,1.8183390057673132
2687,234.875,3.7703904077835797,416.34000000010417,1.9523521131248038,1.8183028000819754
2688,234.8125,3.7701491549674646,416.16000000010416,1.952147018917334,1.8182665101919433
2689,234.75,3.7699091197214383,415.98000000010416,1.9519429645972037,1.818230398084646
2690,234.6875,3.769669084475412,415.80000000010415,1.9517389151845315,1.8181942810844596
2691,234.625,3.7692930292566373,415.62000000010414,1.9514192604576424,1.81813773991456
2692,234.5625,3.768938043798344,415.44000000010413,1.9511175252273325,1.8180843505062996
